Year,Quarter,Month,Week,Start_date,End_Date,Total_Orgs,New organisations,Number of Datasets on HDX,New datasets per week,CODs,Sub-national,Geodata ,Datasets on request,Datasets with Quick Charts ,Datasets with Showcase ,Datasets with HXL tags ,organizations_with_datasets,New total orgs with data this week,organizations_without_datasets,New total orgs without data this week,users_completed_registration,users_not_completed_registration,Total Users,New users per week,Direct downloads,Web downloads,Total downloads
2014,2014 Q2,May,Week 21,"Monday, May 19, 2014","Sunday, May 25, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q2,May,Week 22,"Monday, May 26, 2014","Sunday, June 1, 2014",10,10,1020,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q2,June,Week 23,"Monday, June 2, 2014","Sunday, June 8, 2014",15,5,1017,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q2,June,Week 24,"Monday, June 9, 2014","Sunday, June 15, 2014",18,3,1193,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q2,June,Week 25,"Monday, June 16, 2014","Sunday, June 22, 2014",19,1,1190,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q2,June,Week 26,"Monday, June 23, 2014","Sunday, June 29, 2014",19,0,1192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q2,June,Week 27,"Monday, June 30, 2014","Sunday, July 6, 2014",21,2,1197,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,July,Week 28,"Monday, July 7, 2014","Sunday, July 13, 2014",21,0,1201,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,July,Week 29,"Monday, July 14, 2014","Sunday, July 20, 2014",16,-5,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,July,Week 30,"Monday, July 21, 2014","Sunday, July 27, 2014",29,13,1326,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,July,Week 31,"Monday, July 28, 2014","Sunday, August 3, 2014",30,1,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,August,Week 32,"Monday, August 4, 2014","Sunday, August 10, 2014",32,2,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,August,Week 33,"Monday, August 11, 2014","Sunday, August 17, 2014",35,3,1328,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,August,Week 34,"Monday, August 18, 2014","Sunday, August 24, 2014",39,4,1331,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,August,Week 35,"Monday, August 25, 2014","Sunday, August 31, 2014",40,1,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,September,Week 36,"Monday, September 1, 2014","Sunday, September 7, 2014",41,1,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,September,Week 37,"Monday, September 8, 2014","Sunday, September 14, 2014",42,1,1337,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,September,Week 38,"Monday, September 15, 2014","Sunday, September 21, 2014",46,4,1340,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,September,Week 39,"Monday, September 22, 2014","Sunday, September 28, 2014",48,2,1344,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q3,September,Week 40,"Monday, September 29, 2014","Sunday, October 5, 2014",53,5,1318,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,October,Week 41,"Monday, October 6, 2014","Sunday, October 12, 2014",57,4,1324,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,October,Week 42,"Monday, October 13, 2014","Sunday, October 19, 2014",58,1,1326,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,October,Week 43,"Monday, October 20, 2014","Sunday, October 26, 2014",61,3,1320,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,October,Week 44,"Monday, October 27, 2014","Sunday, November 2, 2014",65,4,1332,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,November,Week 45,"Monday, November 3, 2014","Sunday, November 9, 2014",65,0,1341,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,November,Week 46,"Monday, November 10, 2014","Sunday, November 16, 2014",71,6,1345,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,November,Week 47,"Monday, November 17, 2014","Sunday, November 23, 2014",74,3,1351,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,November,Week 48,"Monday, November 24, 2014","Sunday, November 30, 2014",77,3,1320,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,December,Week 49,"Monday, December 1, 2014","Sunday, December 7, 2014",79,2,1326,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,December,Week 50,"Monday, December 8, 2014","Sunday, December 14, 2014",81,2,1350,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,December,Week 51,"Monday, December 15, 2014","Sunday, December 21, 2014",89,8,1357,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,December,Week 52,"Monday, December 22, 2014","Sunday, December 28, 2014",90,1,1358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014,2014 Q4,December,"Week 01, 2015","Monday, December 29, 2014","Sunday, January 4, 2015",92,2,1357,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,January,Week 02,"Monday, January 5, 2015","Sunday, January 11, 2015",92,0,1358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,January,Week 03,"Monday, January 12, 2015","Sunday, January 18, 2015",96,4,1369,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,January,Week 04,"Monday, January 19, 2015","Sunday, January 25, 2015",99,3,1375,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,January,Week 05,"Monday, January 26, 2015","Sunday, February 1, 2015",102,3,1409,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,February,Week 06,"Monday, February 2, 2015","Sunday, February 8, 2015",102,0,1420,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,February,Week 07,"Monday, February 9, 2015","Sunday, February 15, 2015",103,1,1423,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,February,Week 08,"Monday, February 16, 2015","Sunday, February 22, 2015",108,5,1428,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,February,Week 09,"Monday, February 23, 2015","Sunday, March 1, 2015",110,2,1466,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,March,Week 10,"Monday, March 2, 2015","Sunday, March 8, 2015",112,2,1471,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,March,Week 11,"Monday, March 9, 2015","Sunday, March 15, 2015",115,3,1477,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,March,Week 12,"Monday, March 16, 2015","Sunday, March 22, 2015",116,1,1481,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,March,Week 13,"Monday, March 23, 2015","Sunday, March 29, 2015",120,4,1497,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q1,March,Week 14,"Monday, March 30, 2015","Sunday, April 5, 2015",123,3,1553,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,April,Week 15,"Monday, April 6, 2015","Sunday, April 12, 2015",125,2,1563,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,April,Week 16,"Monday, April 13, 2015","Sunday, April 19, 2015",126,1,1579,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,April,Week 17,"Monday, April 20, 2015","Sunday, April 26, 2015",130,4,1588,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,April,Week 18,"Monday, April 27, 2015","Sunday, May 3, 2015",133,3,1620,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,May,Week 19,"Monday, May 4, 2015","Sunday, May 10, 2015",142,9,1653,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,May,Week 20,"Monday, May 11, 2015","Sunday, May 17, 2015",149,7,1666,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,May,Week 21,"Monday, May 18, 2015","Sunday, May 24, 2015",153,4,1665,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,May,Week 22,"Monday, May 25, 2015","Sunday, May 31, 2015",154,1,1681,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,June,Week 23,"Monday, June 1, 2015","Sunday, June 7, 2015",156,2,1686,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,June,Week 24,"Monday, June 8, 2015","Sunday, June 14, 2015",163,7,1692,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,June,Week 25,"Monday, June 15, 2015","Sunday, June 21, 2015",166,3,1857,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,June,Week 26,"Monday, June 22, 2015","Sunday, June 28, 2015",171,5,1868,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q2,June,Week 27,"Monday, June 29, 2015","Sunday, July 5, 2015",173,2,1880,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,July,Week 28,"Monday, July 6, 2015","Sunday, July 12, 2015",174,1,1885,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,July,Week 29,"Monday, July 13, 2015","Sunday, July 19, 2015",177,3,1930,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,July,Week 30,"Monday, July 20, 2015","Sunday, July 26, 2015",178,1,1940,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,July,Week 31,"Monday, July 27, 2015","Sunday, August 2, 2015",180,2,1950,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,August,Week 32,"Monday, August 3, 2015","Sunday, August 9, 2015",181,1,2121,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,August,Week 33,"Monday, August 10, 2015","Sunday, August 16, 2015",156,-25,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,August,Week 34,"Monday, August 17, 2015","Sunday, August 23, 2015",157,1,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,August,Week 35,"Monday, August 24, 2015","Sunday, August 30, 2015",159,2,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,August,Week 36,"Monday, August 31, 2015","Sunday, September 6, 2015",160,1,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,September,Week 37,"Monday, September 7, 2015","Sunday, September 13, 2015",160,0,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,September,Week 38,"Monday, September 14, 2015","Sunday, September 20, 2015",160,0,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,September,Week 39,"Monday, September 21, 2015","Sunday, September 27, 2015",160,0,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q3,September,Week 40,"Monday, September 28, 2015","Sunday, October 4, 2015",163,3,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q4,October,Week 41,"Monday, October 5, 2015","Sunday, October 11, 2015",169,6,2145,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q4,October,Week 42,"Monday, October 12, 2015","Sunday, October 18, 2015",160,-9,2162,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2015,2015 Q4,October,Week 43,"Monday, October 19, 2015","Sunday, October 25, 2015",160,0,2223,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
