concat,Year,Week Num,Month,Datasets,Orgs,Registered Users,Unique Users,Unique Users_Updated
2014Week 05,2014,Week 05,Jan-2014,0,0,0,0,0.00
2014Week 09,2014,Week 09,Feb-2014,0,0,0,0,0.00
2014Week 13,2014,Week 13,Mar-2014,0,0,0,0,0.00
2014Week 17,2014,Week 17,Apr-2014,0,0,0,0,0.00
2014Week 22,2014,Week 22,May-2014,1020,10,0,91,91.00
2014Week 26,2014,Week 26,Jun-2014,1192,19,0,180,180.00
2014Week 30,2014,Week 30,Jul-2014,1326,29,0,"4,393.00",4393.00
2014Week 35,2014,Week 35,Aug-2014,1331,40,0,"1,644.00",1644.00
2014Week 39,2014,Week 39,Sep-2014,1344,48,0,"1,655.00",1655.00
2014Week 43,2014,Week 43,Oct-2014,1320,61,0,"6,031.00",6031.00
2014Week 48,2014,Week 48,Nov-2014,1320,77,0,"8,047.00",8047.00
2014Week 52,2014,Week 52,Dec-2014,1358,90,0,"5,975.00",5975.00
2015Week 05,2015,Week 05,Jan-2015,1409,102,0,"5,106.00",5106.00
2015Week 09,2015,Week 09,Feb-2015,1466,110,0,"5,970.00",5970.00
2015Week 13,2015,Week 13,Mar-2015,1497,120,0,"5,832.00",5832.00
2015Week 17,2015,Week 17,Apr-2015,1588,130,0,"12,380.00",12380.00
2015Week 22,2015,Week 22,May-2015,1681,154,0,"18,095.00",18095.00
2015Week 26,2015,Week 26,Jun-2015,1868,171,0,"10,954.00",10954.00
2015Week 30,2015,Week 30,Jul-2015,1940,178,0,"7,714.00",7714.00
2015Week 35,2015,Week 35,Aug-2015,2121,159,0,"6,798.00",6798.00
2015Week 39,2015,Week 39,Sep-2015,2121,160,0,"9,291.00",9291.00
2015Week 43,2015,Week 43,Oct-2015,2223,160,0,"10,417.00",10417.00
2015Week 48,2015,Week 48,Nov-2015,3074,198,0,"11,027.00",11027.00
2015Week 52,2015,Week 52,Dec-2015,3519,204,0,"9,067.00",9067.00
2016Week 05,2016,Week 05,Jan-2016,3645,218,0,"11,442.00",11442.00
2016Week 09,2016,Week 09,Feb-2016,3897,226,0,"12,929.00",12929.00
2016Week 13,2016,Week 13,Mar-2016,3972,233,0,"13,461.00",13461.00
2016Week 17,2016,Week 17,Apr-2016,3981,239,0,"13,244.00",13244.00
2016Week 22,2016,Week 22,May-2016,4025,245,0,"12,561.00",12561.00
2016Week 26,2016,Week 26,Jun-2016,4051,249,0,"9,240.00",9240.00
2016Week 30,2016,Week 30,Jul-2016,4073,233,0,"10,269.00",10269.00
2016Week 35,2016,Week 35,Aug-2016,4093,238,0,"12,943.00",12943.00
2016Week 39,2016,Week 39,Sep-2016,4123,241,0,"14,114.00",14114.00
2016Week 43,2016,Week 43,Oct-2016,4216,252,0,"19,085.00",19085.00
2016Week 48,2016,Week 48,Nov-2016,4408,254,0,"18,279.00",18279.00
2016Week 52,2016,Week 52,Dec-2016,4422,258,0,"15,663.00",15663.00
2017Week 05,2017,Week 05,Jan-2017,4405,259,0,"16,443.00",16443.00
2017Week 09,2017,Week 09,Feb-2017,4434,267,0,"16,252.00",16252.00
2017Week 13,2017,Week 13,Mar-2017,4479,270,0,"20,279.00",20279.00
2017Week 17,2017,Week 17,Apr-2017,4514,276,0,"19,380.00",19380.00
2017Week 22,2017,Week 22,May-2017,4614,286,0,"18,913.00",18913.00
2017Week 26,2017,Week 26,Jun-2017,4667,287,0,"19,631.00",19631.00
2017Week 30,2017,Week 30,Jul-2017,5267,290,0,"16,269.00",16269.00
2017Week 35,2017,Week 35,Aug-2017,5412,295,0,"17,931.00",17931.00
2017Week 39,2017,Week 39,Sep-2017,5724,305,0,"21,279.00",21279.00
2017Week 43,2017,Week 43,Oct-2017,5854,318,0,"24,668.00",24668.00
2017Week 48,2017,Week 48,Nov-2017,6161,328,0,"24,804.00",24804.00
2017Week 52,2017,Week 52,Dec-2017,6288,335,0,"19,457.00",19457.00
2018Week 05,2018,Week 05,Jan-2018,6450,337,0,"23,839.00",23839.00
2018Week 09,2018,Week 09,Feb-2018,6603,342,5340,"23,780.00",23780.00
2018Week 13,2018,Week 13,Mar-2018,6657,346,5478,"29,929.00",29929.00
2018Week 17,2018,Week 17,Apr-2018,6679,355,5648,"40,596.00",40596.00
2018Week 22,2018,Week 22,May-2018,5869,358,5839,"41,049.00",41049.00
2018Week 26,2018,Week 26,Jun-2018,5914,362,5975,"35,401.00",35401.00
2018Week 30,2018,Week 30,Jul-2018,6130,368,6090,"36,129.00",36129.00
2018Week 35,2018,Week 35,Aug-2018,7435,223,6298,"39,253.00",38964.00
2018Week 39,2018,Week 39,Sep-2018,7870,245,6450,"44,103.00",43721.00
2018Week 43,2018,Week 43,Oct-2018,8123,253,6634,"52,037.00",51101.00
2018Week 48,2018,Week 48,Nov-2018,8176,257,6804,"51,771.00",51222.00
2018Week 52,2018,Week 52,Dec-2018,8221,261,6877,"43,379.00",42544.00
2019Week 5,2019,Week 5,Jan-2019,8307,265,7016,"44,872.00",44088.00
2019Week 9,2019,Week 9,Feb-2019,8567,268,7142,"48,526.00",44515.00
2019Week 13,2019,Week 13,Mar-2019,8803,271,7253,"52,815.00",50082.00
2019Week 18,2019,Week 18,Apr-2019,8907,277,7423,"56,795.00",55491.00
2019Week 22,2019,Week 22,May-2019,9604,282,7522,"55,304.00",53793.00
2019Week 26,2019,Week 26,Jun-2019,9797,284,7637,"60,121.00",58442.00
2019Week 31,2019,Week 31,Jul-2019,9891,291,7734,"54,591.00",52820.00
2019Week 35,2019,Week 35,Aug-2019,10048,294,7822,"51,873.00",50083.00
