Service,Date,Users
Agenda for Humanity/PACT - Archived,1/1/2018,"4,551.00"
Agenda for Humanity/PACT - Archived,2/1/2018,"4,620.00"
Agenda for Humanity/PACT - Archived,3/1/2018,"5,530.00"
Agenda for Humanity/PACT - Archived,4/1/2018,"5,367.00"
Agenda for Humanity/PACT - Archived,5/1/2018,"5,049.00"
Agenda for Humanity/PACT - Archived,6/1/2018,"4,572.00"
Agenda for Humanity/PACT - Archived,7/1/2018,"4,252.00"
Agenda for Humanity/PACT - Archived,8/1/2018,"4,832.00"
Agenda for Humanity/PACT - Archived,9/1/2018,"5,862.00"
Agenda for Humanity/PACT - Archived,10/1/2018,"5,968.00"
Agenda for Humanity/PACT - Archived,11/1/2018,"5,779.00"
Agenda for Humanity/PACT - Archived,12/1/2018,"4,881.00"
Agenda for Humanity/PACT - Archived,1/1/2019,"5,169.00"
Agenda for Humanity/PACT - Archived,2/1/2019,"5,726.00"
HPC: FTS,1/1/2018,"8,871.00"
HPC: FTS,2/1/2018,"9,108.00"
HPC: FTS,3/1/2018,"8,392.00"
HPC: FTS,4/1/2018,"9,018.00"
HPC: FTS,5/1/2018,"8,231.00"
HPC: FTS,6/1/2018,"7,510.00"
HPC: FTS,7/1/2018,"7,973.00"
HPC: FTS,8/1/2018,"6,683.00"
HPC: FTS,9/1/2018,"8,739.00"
HPC: FTS,10/1/2018,"9,145.00"
HPC: FTS,11/1/2018,"8,343.00"
HPC: FTS,12/1/2018,"7,379.00"
HPC: FTS,1/1/2019,"7,819.00"
HPC: FTS,2/1/2019,"8,128.00"
Invisible Citizens,1/1/2018,0.00
Invisible Citizens,2/1/2018,0.00
Invisible Citizens,3/1/2018,0.00
Invisible Citizens,4/1/2018,0.00
Invisible Citizens,5/1/2018,0.00
Invisible Citizens,6/1/2018,0.00
Invisible Citizens,7/1/2018,0.00
Invisible Citizens,8/1/2018,0.00
Invisible Citizens,9/1/2018,0.00
Invisible Citizens,10/1/2018,0.00
Invisible Citizens,11/1/2018,133.00
Invisible Citizens,12/1/2018,124.00
Invisible Citizens,2/1/2019,22.00
Donation Sites - Raisely - crisisrelief.un.org,2/1/2019,
ReliefWeb Labs,1/1/2018,"1,044.00"
ReliefWeb Labs,2/1/2018,941.00
ReliefWeb Labs,3/1/2018,"1,016.00"
ReliefWeb Labs,4/1/2018,949.00
ReliefWeb Labs,5/1/2018,"1,095.00"
ReliefWeb Labs,6/1/2018,900.00
ReliefWeb Labs,7/1/2018,979.00
ReliefWeb Labs,8/1/2018,987.00
ReliefWeb Labs,9/1/2018,965.00
ReliefWeb Labs,10/1/2018,995.00
ReliefWeb Labs,11/1/2018,878.00
ReliefWeb Labs,12/1/2018,777.00
ReliefWeb Labs,2/1/2019,897.00
ReliefWeb API Documentation,1/1/2018,98.00
ReliefWeb API Documentation,2/1/2018,98.00
ReliefWeb API Documentation,3/1/2018,129.00
ReliefWeb API Documentation,4/1/2018,130.00
ReliefWeb API Documentation,5/1/2018,103.00
ReliefWeb API Documentation,6/1/2018,117.00
ReliefWeb API Documentation,7/1/2018,124.00
ReliefWeb API Documentation,8/1/2018,149.00
ReliefWeb API Documentation,9/1/2018,143.00
ReliefWeb API Documentation,10/1/2018,270.00
ReliefWeb API Documentation,11/1/2018,161.00
ReliefWeb API Documentation,12/1/2018,154.00
ReliefWeb API Documentation,2/1/2019,128.00
HPC: Humanitarian Insights,1/1/2018,0.00
HPC: Humanitarian Insights,2/1/2018,0.00
HPC: Humanitarian Insights,3/1/2018,0.00
HPC: Humanitarian Insights,4/1/2018,0.00
HPC: Humanitarian Insights,5/1/2018,0.00
HPC: Humanitarian Insights,6/1/2018,0.00
HPC: Humanitarian Insights,7/1/2018,0.00
HPC: Humanitarian Insights,8/1/2018,0.00
HPC: Humanitarian Insights,9/1/2018,2.00
HPC: Humanitarian Insights,10/1/2018,521.00
HPC: Humanitarian Insights,11/1/2018,49.00
HPC: Humanitarian Insights,12/1/2018,"2,749.00"
HPC: Humanitarian Insights,1/1/2019,"1,369.00"
HPC: Humanitarian Insights,2/1/2019,"1,276.00"
HPC: Indicator Registry,1/1/2018,356.00
HPC: Indicator Registry,2/1/2018,412.00
HPC: Indicator Registry,3/1/2018,400.00
HPC: Indicator Registry,4/1/2018,340.00
HPC: Indicator Registry,5/1/2018,520.00
HPC: Indicator Registry,6/1/2018,442.00
HPC: Indicator Registry,7/1/2018,521.00
HPC: Indicator Registry,8/1/2018,109.00
HPC: Indicator Registry,9/1/2018,38.00
HPC: Indicator Registry,10/1/2018,19.00
HPC: Indicator Registry,11/1/2018,"5,143.00"
HPC: Indicator Registry,12/1/2018,43.00
HPC: Indicator Registry,1/1/2019,
HPC: Indicator Registry,2/1/2019,0.00
HPC: Projects,1/1/2018,0.00
HPC: Projects,2/1/2018,136.00
HPC: Projects,3/1/2018,97.00
HPC: Projects,4/1/2018,290.00
HPC: Projects,5/1/2018,215.00
HPC: Projects,6/1/2018,148.00
HPC: Projects,7/1/2018,352.00
HPC: Projects,8/1/2018,624.00
HPC: Projects,9/1/2018,"1,242.00"
HPC: Projects,10/1/2018,"5,306.00"
HPC: Projects,11/1/2018,437.00
HPC: Projects,12/1/2018,"2,148.00"
HPC: Projects,1/1/2019,"2,834.00"
HPC: Projects,2/1/2019,"2,632.00"
HPC: Response Planning & Monitoring,1/1/2018,0.00
HPC: Response Planning & Monitoring,2/1/2018,126.00
HPC: Response Planning & Monitoring,3/1/2018,161.00
HPC: Response Planning & Monitoring,4/1/2018,162.00
HPC: Response Planning & Monitoring,5/1/2018,168.00
HPC: Response Planning & Monitoring,6/1/2018,190.00
HPC: Response Planning & Monitoring,7/1/2018,191.00
HPC: Response Planning & Monitoring,8/1/2018,225.00
HPC: Response Planning & Monitoring,9/1/2018,205.00
HPC: Response Planning & Monitoring,10/1/2018,274.00
HPC: Response Planning & Monitoring,11/1/2018,322.00
HPC: Response Planning & Monitoring,12/1/2018,396.00
HPC: Response Planning & Monitoring,1/1/2019,245.00
HPC: Response Planning & Monitoring,2/1/2019,228.00
Humanitarian Atlas,1/1/2018,304.00
Humanitarian Atlas,2/1/2018,377.00
Humanitarian Atlas,3/1/2018,386.00
Humanitarian Atlas,4/1/2018,255.00
Humanitarian Atlas,5/1/2018,261.00
Humanitarian Atlas,6/1/2018,332.00
Humanitarian Atlas,7/1/2018,298.00
Humanitarian Atlas,8/1/2018,538.00
Humanitarian Atlas,9/1/2018,244.00
Humanitarian Atlas,10/1/2018,322.00
Humanitarian Atlas,11/1/2018,148.00
Humanitarian Atlas,12/1/2018,280.00
Humanitarian Atlas,1/1/2019,341.00
Humanitarian Atlas,2/1/2019,311.00
Humanitarian Events,1/1/2018,87.00
Humanitarian Events,2/1/2018,199.00
Humanitarian Events,3/1/2018,473.00
Humanitarian Events,4/1/2018,279.00
Humanitarian Events,5/1/2018,500.00
Humanitarian Events,6/1/2018,548.00
Humanitarian Events,7/1/2018,143.00
Humanitarian Events,8/1/2018,"1,487.00"
Humanitarian Events,9/1/2018,"1,543.00"
Humanitarian Events,10/1/2018,328.00
Humanitarian Events,11/1/2018,148.00
Humanitarian Events,12/1/2018,146.00
Humanitarian Events,1/1/2019,151.00
Humanitarian Events,2/1/2019,133.00
Humanitarian ID,1/1/2018,"7,104.00"
Humanitarian ID,2/1/2018,"8,232.00"
Humanitarian ID,3/1/2018,"7,691.00"
Humanitarian ID,4/1/2018,"7,454.00"
Humanitarian ID,5/1/2018,"7,302.00"
Humanitarian ID,6/1/2018,"7,803.00"
Humanitarian ID,7/1/2018,"8,332.00"
Humanitarian ID,8/1/2018,"8,821.00"
Humanitarian ID,9/1/2018,"13,365.00"
Humanitarian ID,10/1/2018,"16,865.00"
Humanitarian ID,11/1/2018,"13,770.00"
Humanitarian ID,12/1/2018,"9,335.00"
Humanitarian ID,1/1/2019,"10,790.00"
Humanitarian ID,2/1/2019,"10,854.00"
Humanitarian ID - Website,1/1/2018,"6,514.00"
Humanitarian ID - Website,2/1/2018,"3,954.00"
Humanitarian ID - Website,3/1/2018,"3,425.00"
Humanitarian ID - Website,4/1/2018,"7,519.00"
Humanitarian ID - Website,5/1/2018,"4,017.00"
Humanitarian ID - Website,6/1/2018,"4,132.00"
Humanitarian ID - Website,7/1/2018,"4,376.00"
Humanitarian ID - Website,8/1/2018,"6,385.00"
Humanitarian ID - Website,9/1/2018,"10,337.00"
Humanitarian ID - Website,10/1/2018,"9,901.00"
Humanitarian ID - Website,11/1/2018,"6,865.00"
Humanitarian ID - Website,12/1/2018,"3,890.00"
Humanitarian ID - Website,1/1/2019,"6,020.00"
Humanitarian ID - Website,2/1/2019,"5,476.00"
Humanitarian Needs Overview Syria 2019,1/1/2018,"1,163.00"
Humanitarian Needs Overview Syria 2019,2/1/2018,720.00
Humanitarian Needs Overview Syria 2019,3/1/2018,845.00
Humanitarian Needs Overview Syria 2019,4/1/2018,687.00
Humanitarian Needs Overview Syria 2019,5/1/2018,511.00
Humanitarian Needs Overview Syria 2019,6/1/2018,527.00
Humanitarian Needs Overview Syria 2019,7/1/2018,676.00
Humanitarian Needs Overview Syria 2019,8/1/2018,925.00
Humanitarian Needs Overview Syria 2019,9/1/2018,839.00
Humanitarian Needs Overview Syria 2019,10/1/2018,812.00
Humanitarian Needs Overview Syria 2019,11/1/2018,860.00
Humanitarian Needs Overview Syria 2019,12/1/2018,830.00
Humanitarian Needs Overview Syria 2019,1/1/2019,841.00
Humanitarian Needs Overview Syria 2019,2/1/2019,659.00
CBPF Public Portal,1/1/2018,"1,887.00"
CBPF Public Portal,2/1/2018,"1,879.00"
CBPF Public Portal,3/1/2018,"2,522.00"
CBPF Public Portal,4/1/2018,"1,728.00"
CBPF Public Portal,5/1/2018,"1,680.00"
CBPF Public Portal,6/1/2018,"1,648.00"
CBPF Public Portal,7/1/2018,"1,768.00"
CBPF Public Portal,8/1/2018,"1,591.00"
CBPF Public Portal,9/1/2018,"1,605.00"
CBPF Public Portal,10/1/2018,"2,038.00"
CBPF Public Portal,11/1/2018,"1,930.00"
CBPF Public Portal,12/1/2018,"1,672.00"
CBPF Public Portal,1/1/2019,"2,220.00"
CBPF Public Portal,2/1/2019,"2,238.00"
Humanitarian Programme Cycle Yemen,1/1/2018,"1,209.00"
Humanitarian Programme Cycle Yemen,2/1/2018,586.00
Humanitarian Programme Cycle Yemen,3/1/2018,551.00
Humanitarian Programme Cycle Yemen,4/1/2018,481.00
Humanitarian Programme Cycle Yemen,5/1/2018,301.00
Humanitarian Programme Cycle Yemen,6/1/2018,282.00
Humanitarian Programme Cycle Yemen,7/1/2018,350.00
Humanitarian Programme Cycle Yemen,8/1/2018,347.00
Humanitarian Programme Cycle Yemen,9/1/2018,520.00
Humanitarian Programme Cycle Yemen,10/1/2018,574.00
Humanitarian Programme Cycle Yemen,11/1/2018,526.00
Humanitarian Programme Cycle Yemen,12/1/2018,416.00
Humanitarian Programme Cycle Yemen,1/1/2019,587.00
Humanitarian Programme Cycle Yemen,2/1/2019,506.00
HumanitarianResponse.info,1/1/2018,"59,174.00"
HumanitarianResponse.info,2/1/2018,"61,773.00"
HumanitarianResponse.info,3/1/2018,"73,927.00"
HumanitarianResponse.info,4/1/2018,"68,544.00"
HumanitarianResponse.info,5/1/2018,"69,661.00"
HumanitarianResponse.info,6/1/2018,"58,221.00"
HumanitarianResponse.info,7/1/2018,"62,100.00"
HumanitarianResponse.info,8/1/2018,"68,129.00"
HumanitarianResponse.info,9/1/2018,"85,775.00"
HumanitarianResponse.info,10/1/2018,"79,498.00"
HumanitarianResponse.info,11/1/2018,"83,907.00"
HumanitarianResponse.info,12/1/2018,"58,659.00"
HumanitarianResponse.info,1/1/2019,"68,786.00"
HumanitarianResponse.info,2/1/2019,"95,685.00"
HXL,1/1/2018,469.00
HXL,2/1/2018,443.00
HXL,3/1/2018,563.00
HXL,4/1/2018,336.00
